# fbus,tbus,r,x,b,rateA,rateB,rateC,tap,shift,status,angmin,angmax
1.000000000000000000e+00,2.000000000000000000e+00,5.752591161723930729e-02,2.932448856844085960e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.000000000000000000e+00,3.000000000000000000e+00,3.075951673242838802e-01,1.566676399901170136e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.000000000000000000e+00,4.000000000000000000e+00,2.283566556606245468e-01,1.162996738118590723e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
4.000000000000000000e+00,5.000000000000000000e+00,2.377779275198470543e-01,1.211038985347738378e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
5.000000000000000000e+00,6.000000000000000000e+00,5.109948114372991901e-01,4.411151791039933379e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
6.000000000000000000e+00,7.000000000000000000e+00,1.167988140428112553e-01,3.860849686415149806e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
7.000000000000000000e+00,8.000000000000000000e+00,4.438604503742303864e-01,1.466848353710733244e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
8.000000000000000000e+00,9.000000000000000000e+00,6.426430473509380237e-01,4.617047136307709798e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
9.000000000000000000e+00,1.000000000000000000e+01,6.513780013926012691e-01,4.617047136307709798e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.000000000000000000e+01,1.100000000000000000e+01,1.226637117564994273e-01,4.055514376486502037e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.100000000000000000e+01,1.200000000000000000e+01,2.335976280856225107e-01,7.724195073985060112e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.200000000000000000e+01,1.300000000000000000e+01,9.159223237972591303e-01,7.206337084372168578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.300000000000000000e+01,1.400000000000000000e+01,3.379179363546291337e-01,4.447963383072657262e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.400000000000000000e+01,1.500000000000000000e+01,3.687398456159265425e-01,3.281847018510615221e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.500000000000000000e+01,1.600000000000000000e+01,4.656354429495194180e-01,3.400392823361759742e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.600000000000000000e+01,1.700000000000000000e+01,8.042396971217077306e-01,1.073775421835887700e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.700000000000000000e+01,1.800000000000000000e+01,4.567133113212490936e-01,3.581331157081926175e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.000000000000000000e+00,1.900000000000000000e+01,1.023237473451978907e-01,9.764430768002116401e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.900000000000000000e+01,2.000000000000000000e+01,9.385084192478455600e-01,8.456683362907391199e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.000000000000000000e+01,2.100000000000000000e+01,2.554974057186495950e-01,2.984858581094065322e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.100000000000000000e+01,2.200000000000000000e+01,4.423006371525047831e-01,5.848051730893535360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.000000000000000000e+00,2.300000000000000000e+01,2.815150902570322522e-01,1.923561665031982559e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.300000000000000000e+01,2.400000000000000000e+01,5.602849092438274559e-01,4.424254222102427803e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.400000000000000000e+01,2.500000000000000000e+01,5.590370586664470398e-01,4.374340199007209495e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
6.000000000000000000e+00,2.600000000000000000e+01,1.266568336041169196e-01,6.451387485056989113e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.600000000000000000e+01,2.700000000000000000e+01,1.773195670457636819e-01,9.028198927347642899e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.700000000000000000e+01,2.800000000000000000e+01,6.607368807229546670e-01,5.825590420500686983e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.800000000000000000e+01,2.900000000000000000e+01,5.017607171646838449e-01,4.371220572563758733e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.900000000000000000e+01,3.000000000000000000e+01,3.166420840102922019e-01,1.612846871264247417e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.000000000000000000e+01,3.100000000000000000e+01,6.079528012997611475e-01,6.008400530086924762e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.100000000000000000e+01,3.200000000000000000e+01,1.937288021383167524e-01,2.257985619769946051e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.200000000000000000e+01,3.300000000000000000e+01,2.127585234433687911e-01,3.308051880635605180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
