# bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,5.999999999999999778e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
3.000000000000000000e+00,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
4.000000000000000000e+00,1.000000000000000000e+00,1.199999999999999956e-01,8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
5.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-02,2.999999999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
7.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
9.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.000000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
